pathway_25	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
CD38	CD38	NA	17.91	86.88	82.75	84.56	-1.452889265	4.32074430378665e-05	0.603332965781596	0.396623826775366	0.0143804273782553	chr4:15779901-15854853
CX3CL1	CX3CL1	NA	21.65	75.98	58.33	51.33	0.638690886	0.953702364587945	0.0461416436610943	0.000155991750960966	0.00992984556501927	chr16:57406370-57418960
SYT7	SYT7	NA	15.62	12.74	13.43	18.52	2.100770494	0.871596989978524	0.127972031592295	0.000430978429181302	0.270645525398062	chr11:61282785-61348620
TYROBP	TYROBP	NA	68.98	87.1	84.82	87.01	-0.222787604	0.456639310242216	0.511499289762858	0.0318613999949259	0.0609681616382124	chr19:36395303-36399197
NCDN	NCDN	NA	8.75	3.76	2.49	3.4	3.98163812	0.994596962584077	0.0054022469186735	7.90497249388456e-07	0.27644857400927	chr1:36023074-36032875
CYP46A1	CYP46A1	NA	31.46	9.4	12.4	12.03	3.3493956	0.630426434093136	0.369202476991575	0.000371088915288948	0.0868520043599752	chr14:100150651-100193638
RASGRF1	RASGRF1	NA	4.14	1.9	1.23	1.46	4.18327313	0.99992601681974	7.39831800719152e-05	1.87852792472563e-13	0.113718778625202	chr15:79252289-79383115
CAMK2B	CAMK2B	NA	17.16	29.09	19.5	25.74	2.998765274	0.633764568815795	0.366220647284072	1.47839001324734e-05	0.49071583705301	chr7:44256749-44365255
LZTS1	LZTS1	NA	76.49	85.04	49.76	79.47	1.012323061	0.81731127516214	0.181580343831083	0.00110838100677698	0.258249822809794	chr8:20103676-20161474
PRKCZ	PRKCZ	NA	8.85	8.11	8.25	10.62	1.834987124	0.481730554105594	0.518017342631898	0.000252103262507829	0.349066958463632	chr1:1981909-2116834
CAMK2A	CAMK2A	NA	20.26	13.32	15.17	15.69	3.823077481	0.999809613077424	0.000190386695833524	2.26742453617532e-10	0.795225095807155	chr5:149599054-149669854
PTGS2	PTGS2	NA	28.93	25.59	24.65	37.03	2.545557994	0.998169036953237	0.00183090667666185	5.63701006668143e-08	0.996154622665113	chr1:186640923-186649559
SLC24A1	SLC24A1	NA	19.04	52.44	52.24	50.27	0.067691222	0.00174694600357221	0.991690083411759	0.00656297058466911	0.0120879370818424	chr15:65903743-65953333
SCGN	SCGN	NA	75.29	83.8	74.52	69.5	0.424304741	0.108674489112849	0.883475985450288	0.00784952543686263	0.0162434565785312	chr6:25652464-25702011
RIMS1	RIMS1	NA	3.32	11.63	2.8	2.92	3.037775281	0.655762788866752	0.344237211099226	3.40216169614431e-11	0.665149421862827	chr6:72596406-73112845
PSEN1	PSEN1	NA	30.37	30.79	42.81	40.8	1.485089614	0.995825222942184	0.00417435598752699	4.21070289290642e-07	0.926333030803085	chr14:73603126-73690399
MEF2C	MEF2C	NA	58	19.91	18.97	22.91	4.047109006	0.00241500594116064	0.977894504675719	0.0196904893831202	0.999766119822176	chr5:88013975-88199922
GSK3B	GSK3B	NA	32.94	23.35	20.51	32.08	1.897126463	0.997210745139451	0.0027892230149021	3.18456469207427e-08	0.996775896715384	chr3:119540170-119813264
SSH1	SSH1	NA	28.31	40.02	32.11	54.24	1.248050606	0.998625970145591	0.0013740287081834	1.14622606992561e-09	0.032917322861149	chr12:109176466-109251366
JPH4	JPH4	NA	NA	NA	NA	NA	1.95603035	0.982160427346024	0.0178248290210717	1.47436329045643e-05	0.159476491912572	chr14:24036320-24048009
ITPR3	ITPR3	NA	0.17	0.66	0.44	0.42	4.023880122	1.29201465438025e-10	0.999999987137493	1.27333052985619e-08	0.727036054079413	chr6:33588142-33664351
ABL1	ABL1	NA	2.85	6.83	4.4	5.4	1.97483745	0.999678496780562	0.000321503055010454	1.6442776763073e-10	0.91575422429254	chr9:133589333-133763062
MAPK1	MAPK1	NA	26.23	49.31	46.24	58.51	2.187331271	0.974579123921532	0.0253855994217243	3.52766567439544e-05	0.998883800552633	chr22:22108789-22221970
PICK1	PICK1	NA	12.24	18.75	13.24	13.95	2.413608946	0.799809980988476	0.199897639595913	0.000292379415611437	0.328130305105109	chr22:38452318-38471708
SYNGR1	SYNGR1	NA	15.76	29.15	28.93	24.17	0.990864688	0.547228125652672	0.436109537571743	0.0166623367755846	0.100294023597222	chr22:39745930-39781593
LGMN	LGMN	NA	52.09	64.52	59.28	73.01	0.471443406	0.283112869386583	0.715698661706162	0.00118846890725483	0.021785181022137	chr14:93170152-93215047
SLC8A3	SLC8A3	NA	7.55	8.27	7.02	4.84	0.786480928	0.819088112728803	0.180867079438353	4.48078328440651e-05	0.527602574805903	chr14:70510934-70655787
NFATC4	NFATC4	NA	69.66	20.86	23.86	12.91	2.466349574	0.971292687246502	0.0287053548559568	1.9578975414193e-06	0.294227778727441	chr14:24836117-24848810
RIMS4	RIMS4	NA	30.07	31.46	24.6	28.79	2.627752294	0.940692592727483	0.0590176531959469	0.000289754076570316	0.269621396138141	chr20:43380449-43438979
SYP	SYP	NA	42.88	57.99	61.09	67.16	1.740410308	0.578217749800856	0.408642996950594	0.0131392532485499	0.881622719625786	chrX:49044269-49056718
FMR1	FMR1	NA	70.26	70.71	69.23	75.59	2.954178952	0.296796463493601	0.70214348571982	0.0010600507865785	0.940937361273481	chrX:146993469-147032645
FGF14	FGF14	NA	53.51	28.41	42.94	29.96	1.303173577	0.918446216278312	0.0809071268375636	0.000646656884124775	0.824556278382824	chr13:102372134-103054124
CBLN1	CBLN1	NA	54.63	65.01	48.21	57.14	2.573980193	0.801224619061198	0.192294405368787	0.00648097557001506	0.300515651911382	chr16:49311828-49315742
STX4	STX4	NA	18.44	30.85	37.82	54.41	0.611585406	0.00201897037364462	0.896217883727301	0.101763145899054	0.339013967357816	chr16:31044210-31051489
RAB11A	RAB11A	NA	49.39	40.02	38.71	42.44	2.205444961	0.976709820222937	0.023261754925193	2.84248518698141e-05	0.717591641414618	chr15:66161794-66184329
CALB1	CALB1	NA	41.25	26.29	24.37	31.3	1.108402841	0.965221302584917	0.0347631319372547	1.55654778285784e-05	0.977301384873746	chr8:91070836-91107703
GRIN2D	GRIN2D	NA	NA	3.82	4.56	4.35	5.211109767	0.997093825258346	0.00290613954009668	3.52015569235373e-08	0.0734445916487085	chr19:48898132-48948188
RAB3A	RAB3A	NA	36.86	30.54	23.23	23.44	1.968380373	0.855775665093663	0.141434365185984	0.00278996972035359	0.128579303268192	chr19:18307594-18314884
CRTC1	CRTC1	NA	26.85	13.7	6.04	7.45	2.592396689	0.961694297379036	0.0383016931905664	4.00943039736285e-06	0.119406031110895	chr19:18794487-18893004
PTN	PTN	NA	70.87	52.42	42.75	49.29	NA	0.642862138862076	0.349430780721546	0.00770708041637744	0.820074791728047	chr7:136912088-137028611
CRHR2	CRHR2	NA	85.18	84.75	91.33	85.46	0.752653865	1.87216095942046e-06	0.646949397331041	0.353048730507999	0.0947537585121227	chr7:30692200-30739719
PPP3CB	PPP3CB	NA	42.88	37.05	32.93	40.03	3.115382568	0.999352985330522	0.000647010203551735	4.46592628890404e-09	0.858351217193228	chr10:75196186-75255782
CPEB3	CPEB3	NA	25.37	16.6	20.62	19.81	2.600518502	0.990047513285252	0.00995177363284256	7.13081905686872e-07	0.570636810548872	chr10:93806449-94050844
