pathway_67	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
NFYA	NFYA	NA	38.28	26.25	23.79	33.32	2.101210875	0.0126781222950776	0.978313932971019	0.00900794473390371	0.689258179536108	chr6:41040684-41067715
SLC7A14	SLC7A14	NA	7.24	57.16	34.34	21.48	0.29690724	0.605616017340675	0.393923644502766	0.000460338156559246	0.326469075212945	chr3:170177372-170303863
SNAI2	SNAI2	NA	46.2	38.9	35.61	48.75	1.516031041	0.85747184357017	0.139822697212602	0.00270545921722814	0.827977789953275	chr8:49830249-49834299
GRAMD1B	GRAMD1B	NA	23.51	54.04	42.35	32.82	2.584891547	0.963757597749291	0.0362416953562073	7.06894501961871e-07	0.267645189646229	chr11:123396344-123498482
FAM13B	FAM13B	NA	8.54	6.04	6.12	14.9	0.185202371	0.727759063716154	0.272239745230072	1.1910537739162e-06	0.922437315523562	chr5:137273649-137387650
SZRD1	SZRD1	NA	42.88	66.86	57.88	58.92	NA	0.713454734367657	0.269175722364774	0.0173695432675696	0.571531721857023	chr1:16693578-16724640
SPA17	SPA17	NA	59.76	36.74	54.36	53.11	NA	0.00504189635079171	0.668232369445502	0.326725734203707	0.0343968514473631	chr11:124543694-124567414
ATXN3	ATXN3	NA	71.27	56.93	41.76	52	0.669364006	0.102433293100603	0.895778386759874	0.0017883201395228	0.681306976020444	chr14:92524896-92572965
ATP2B3	ATP2B3	NA	2.68	6.66	5.47	3.85	3.013716103	0.997292238508251	0.0027077318685789	2.96231698336875e-08	0.20394624436187	chrX:152783134-152848397
TGFBR3	TGFBR3	NA	66.24	47.18	67.8	69.33	1.489238321	0.363793444864738	0.636181073683939	2.54814513226243e-05	0.419419232690396	chr1:92145902-92371892
BUD23	BUD23	NA	19.31	28.76	20.4	34.44	-0.532811075	0.93967566005544	0.0603118133431248	1.25266014348067e-05	0.109832108152251	chr7:73097898-73119491
AP002956.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HOXA9	HOXA9	NA	53.51	60.5	61.11	52.95	1.546832126	7.35205586381908e-05	0.283361352900686	0.716565126540676	0.970115871316067	chr7:27202054-27205149
TNRC6C	TNRC6C	NA	3.34	16.68	3.2	2.8	1.519229852	0.999998269272086	1.73072791182559e-06	2.41487760021043e-15	0.204166571509369	chr17:76000249-76104916
RUNX1T1	RUNX1T1	NA	8.32	4.54	8.08	6.91	2.608799322	0.998312954032453	0.00168699979728627	4.61702603545888e-08	0.998431408436207	chr8:92967203-93115514
RSBN1	RSBN1	NA	11.18	6.81	11.01	8.59	3.197567189	0.978932430984091	0.0210673846262663	1.84389643131296e-07	0.687308413211619	chr1:114304454-114355098
PTPRC	PTPRC	NA	68.57	12.27	8.73	30.59	1.088182651	0.99992784449999	7.21554999744519e-05	3.57639984665149e-14	0.168280936768524	chr1:198607801-198726545
SERTAD4	SERTAD4	NA	89.79	69.27	46.83	62.16	-0.895667053	0.568684062304051	0.428263548899918	0.00305238879603127	0.289993539989069	chr1:210406144-210419600
DNAJA1	DNAJA1	NA	19.31	13.88	15.54	13.48	0.735275757	0.176039293442131	0.820679264774634	0.00328144178323483	0.553519176555369	chr9:33025209-33039905
TXLNG	TXLNG	NA	77.8	55.62	52.07	57.69	0.784319812	0.988311864193508	0.0116829142565734	5.22154991860878e-06	0.216783982279246	chrX:16804550-16862642
MMP2	MMP2	NA	48.84	17.97	6.87	14.02	2.329881954	0.902239290450346	0.0977519973890664	8.71216058703013e-06	0.959393778537734	chr16:55423612-55540603
DPYSL2	DPYSL2	NA	13.45	17.35	14.17	24.81	3.050694274	0.99122163539032	0.00877784026549615	5.24344183337119e-07	0.481859756282989	chr8:26371791-26515694
TFIP11	TFIP11	NA	3.42	15.26	9.41	19.65	0.653397121	7.45709131751954e-07	0.970543283545155	0.0294559707457133	0.097505251403943	chr22:26887191-26908471
RANGAP1	RANGAP1	NA	28.11	14.59	27.57	35.35	0.710212759	0.075997988871464	0.92106414369698	0.00293786743155578	0.390150597330165	chr22:41641615-41682255
PABPN1	PABPN1	NA	NA	37.67	49.16	42.38	NA	0.523459947296071	0.472179109287566	0.00436094341636249	0.65507036964734	chr14:23790498-23795394
MID1	MID1	NA	12.77	9.91	5.92	7.4	2.073291968	0.773984744102624	0.225603737931491	0.000411517965884477	0.828561750780465	chrX:10413350-10851773
SCML2	SCML2	NA	22.09	24.7	9.62	9.91	1.875027221	0.997186133417985	0.00281370580675787	1.6077525708013e-07	0.0111572764685103	chrX:18257434-18372847
CAV1	CAV1	NA	31.46	69.45	71.11	65.88	0.12655497	0.0164252238574512	0.677374667281839	0.306200108860709	0.953094048148509	chr7:116164839-116201233
ENPP5	ENPP5	NA	66.07	82.24	69.68	79.31	0.069377072	1.11209892287676e-05	0.335136578591749	0.664852300419022	0.0773045444987206	chr6:46126924-46138708
CNOT6	CNOT6	NA	33.2	36.87	23.85	28.62	1.431525605	0.93095635198483	0.0690260115587703	1.76364563999168e-05	0.652785135982987	chr5:179921417-180005405
STC2	STC2	NA	20.54	47.97	47.76	51	0.647376899	0.946994301925069	0.0527870033769332	0.000218694697998021	0.309039502349411	chr5:172741716-172756506
