pathway_42	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
PRKCZ	PRKCZ	NA	8.85	8.11	8.25	10.62	1.834987124	0.481730554105594	0.518017342631898	0.000252103262507829	0.349066958463632	chr1:1981909-2116834
RIMS1	RIMS1	NA	3.32	11.63	2.8	2.92	3.037775281	0.655762788866752	0.344237211099226	3.40216169614431e-11	0.665149421862827	chr6:72596406-73112845
SSH1	SSH1	NA	28.31	40.02	32.11	54.24	1.248050606	0.998625970145591	0.0013740287081834	1.14622606992561e-09	0.032917322861149	chr12:109176466-109251366
STX1B	STX1B	NA	41.25	27.08	30.28	32.17	3.010022296	0.918946861052141	0.0809223339865012	0.000130804961357872	0.283101132631084	chr16:31000577-31021949
STX1A	STX1A	NA	28.63	30.04	32.39	31.7	2.127104167	0.877102218587269	0.122513704606588	0.000384076806142823	0.368093661810562	chr7:73113536-73133989
DVL1	DVL1	NA	6.06	37.98	20.49	20.57	0.627851985	0.0905115733720149	0.907284969698664	0.00220345692932133	0.502065644146611	chr1:1270656-1284730
CUX2	CUX2	NA	1.6	9.06	5.45	4.29	3.144756736	0.999989668129701	1.03318702608684e-05	3.79379248830708e-14	0.397294948434826	chr12:111471828-111788358
RGS4	RGS4	NA	48.12	54.35	56.01	68.37	NA	7.43637086118141e-05	0.481363800106452	0.518561836184936	0.30782934288405	chr1:163038565-163046592
PTK2B	PTK2B	NA	5.19	7.11	2.99	6.29	0.766841459	0.996570673633132	0.00342932634898402	1.78839382709134e-11	0.424632626714574	chr8:27168999-27316903
DLG4	DLG4	ambiguous_previous	15.76	8.47	6.06	8.63	3.96948098	0.988512380410048	0.0114876111914015	8.39855080769537e-09	0.305379093508365	chr17:7093209-7123021
IGSF11	IGSF11	NA	61.91	43.22	40.08	44.53	-0.109091688	0.119815312270074	0.873546802146369	0.00663788558355776	0.183197210935693	chr3:118619404-118864915
WNT7A	WNT7A	NA	15.62	12.49	12.69	12.31	2.727203028	0.765751915880841	0.232036480268958	0.00221160385020168	0.398025421699506	chr3:13857755-13921618
SHANK1	SHANK1	NA	NA	NA	NA	NA	3.811392523	0.999999716600502	2.83399497672459e-07	5.95441094883612e-18	0.0166629919214177	chr19:51165084-51222707
SHANK2	SHANK2	NA	NA	NA	NA	NA	NA	0.999808800481752	0.000191199289141162	2.29107256213694e-10	0.132225124509379	chr11:70313961-70963623
NETO1	NETO1	NA	86.71	21.9	30.32	49.92	1.673637636	0.979169420465218	0.0208296934176725	8.86117109958008e-07	0.274136560517342	chr18:70409549-70535184
CACNB3	CACNB3	NA	13.45	11.44	23.44	15.78	1.687012911	0.791282366142289	0.208650944015656	6.66898420550524e-05	0.375624905964273	chr12:49208234-49222724
ADRB2	ADRB2	NA	77.06	51.35	29.56	61.07	1.20256693	0.455500824993228	0.51238789177314	0.0321112832336313	0.766324239351333	chr5:148206156-148208196
NLGN1	NLGN1	NA	4.19	3.87	7.28	4.49	1.547150141	0.646661615561947	0.353017608852615	0.000320775585437964	0.983139098465058	chr3:173114074-174004434
NLGN2	NLGN2	NA	7.94	9.51	6.77	9.66	3.589010526	0.988775808513975	0.0112194633812741	4.72810475037724e-06	0.211516062460634	chr17:7308193-7323179
PTEN	PTEN	NA	36.86	42.11	39.15	40.12	2.455472787	0.960964969897069	0.0390142826470458	2.07474558854741e-05	0.999988229173229	chr10:89622870-89731687
CHRNA7	CHRNA7	NA	NA	51.84	57.58	55.65	2.95971033	NA	NA	NA	0.168515318758735	chr15:32322691-32464722
BAIAP2	BAIAP2	NA	4.22	7.66	9.75	5.6	2.595286472	0.926028336489408	0.0739506439642558	2.10195463364206e-05	0.184038679279374	chr17:79008950-79091232
RIMS2	RIMS2	NA	18.28	11.45	54.44	20.6	1.032817021	0.999984143216421	1.58567835791735e-05	3.65330403287303e-17	0.58962496156792	chr8:104512976-105268322
GRIN1	GRIN1	NA	6.72	3.31	4.67	4.09	5.971225911	0.928695746564368	0.0713034691937774	7.8424185492576e-07	0.134172600913594	chr9:140032842-140063207
NRXN1	NRXN1	NA	2.25	2.72	2.28	1.95	4.041988282	0.999950124054954	4.98759449737795e-05	7.18930253230459e-14	0.995179441352625	chr2:50145643-51259674
RELN	RELN	NA	1.46	3.37	4.33	3.25	1.801081941	0.999999999999987	1.33853342978018e-14	5.84877270586394e-40	0.989553229855465	chr7:103112231-103629963
NLGN3	NLGN3	NA	20.54	5.47	3.7	5.92	3.688450198	0.865487844940484	0.134024929581499	0.000487225478016838	0.634479168919147	chrX:70364681-70391051
SHANK3	SHANK3	NA	NA	NA	NA	NA	4.714052438	0.999915921676604	8.40782924320766e-05	3.09643859042457e-11	0.0592128197215211	chr22:51112843-51171726
AC093525.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
