pathway_80	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
AP2B1	AP2B1	NA	9.09	5.38	4.07	6.47	3.740381963	0.999800042804466	0.000199957143831016	5.17028016308068e-11	0.759088782277729	chr17:33905065-34053436
GABRA3	GABRA3	NA	49.76	11.69	13.76	17.01	2.598539207	0.211577412350307	0.777504700980142	0.0109178866695509	0.292033892568605	chrX:151334706-151619830
GABRA1	GABRA1	NA	24	18.32	19.82	23.91	2.785751568	0.944595908788091	0.055354231823359	4.98593885496302e-05	0.663889146549651	chr5:161274197-161326975
AP2S1	AP2S1	NA	54.63	51.89	51.3	53.24	2.483929553	0.904979925564157	0.0940666061296396	0.000953468306203798	0.194093267903846	chr19:47341393-47354249
GABRP	GABRP	NA	70.58	72.49	65.76	77.1	-0.211826129	0.00101319424980794	0.937196655688253	0.0617901500619386	0.137969377069857	chr5:170190354-170241051
SLC32A1	SLC32A1	NA	51.66	21.31	20.6	29.83	4.361686168	NA	NA	NA	0.384362074769122	chr20:37353105-37358015
GABRE	GABRE	NA	97.01	93.64	82.4	95.41	-0.165333449	0.000774814013040167	0.743692315372863	0.255532870614097	0.0270208618976198	chrX:151121596-151143151
GABRA4	GABRA4	NA	70.26	13.04	12.95	23.03	2.769028846	0.993971985061883	0.00602698204299301	1.03289512402223e-06	0.302134042220527	chr4:46920917-46996424
GABRG2	GABRG2	NA	25.15	9.42	10.52	14.61	2.994837104	0.927172865422976	0.0728069339685596	2.02006084648131e-05	0.596547389031622	chr5:161494546-161582542
GAD1	GAD1	NA	21.56	16.25	15.42	9.8	2.293812199	0.982558388157699	0.0174410396939855	5.72148315838993e-07	0.963419601332805	chr2:171669723-171717661
SLC6A11	SLC6A11	NA	24.53	51.58	15.16	24.35	1.825739816	0.880736268976754	0.119249094053699	1.46369695475108e-05	0.24645501448902	chr3:10857885-10982419
GAD2	GAD2	NA	45.36	33.12	19.64	33.84	1.551946629	0.951160347230113	0.0488381629881121	1.48978177508639e-06	0.928238350400962	chr10:26505236-26593487
GABBR2	GABBR2	NA	5.08	3.75	5.99	4.05	3.993255328	0.999870799134941	0.000129200847215838	1.78427782108238e-11	0.519790847878846	chr9:101050391-101471479
ALDH9A1	ALDH9A1	NA	52.15	91.95	75.95	89.91	-0.247209527	6.13319887972489e-06	0.868383862205456	0.131610004595664	0.0555691369304194	chr1:165631453-165668100
GABRA6	GABRA6	NA	68.44	41.49	49.92	67.42	-0.345675176	1.85634088724563e-05	0.661809124959573	0.338172311631554	0.367075597367532	chr5:161112563-161129598
GABRB2	GABRB2	NA	14.97	12.14	8.92	10.52	2.138145492	0.979138714129451	0.0208568924800214	4.39339052784907e-06	0.654745472325431	chr5:160715436-160975233
GABRA2	GABRA2	NA	33.97	32.66	41.55	34.1	2.516388462	0.992647622305997	0.00735069917558677	1.6785184166596e-06	0.425220982509466	chr4:46250444-46477247
SLC6A1	SLC6A1	NA	29.16	5.93	9.06	10.76	3.477784269	0.998592225641002	0.00140774465921078	2.96997869737098e-08	0.509633958050529	chr3:11034410-11080933
AP2M1	AP2M1	NA	42.88	32.35	30.58	37.3	4.020516082	0.988593971414646	0.0114050326136049	9.9597174892835e-07	0.714763661147671	chr3:183892477-183901879
GABRG1	GABRG1	NA	12.24	12.1	14.86	11.98	0.190901606	0.00525295700015584	0.963957166010359	0.0307898769894855	0.197539186001333	chr4:46037786-46126098
GABRB1	GABRB1	NA	28.93	17.46	18.15	26.06	2.491774832	0.958243561140789	0.0417514665840819	4.97227512938661e-06	0.572974725144044	chr4:46995740-47428461
GABRB3	GABRB3	NA	22.36	22.31	19.82	23.91	2.908702881	0.995064754389693	0.00493461199320092	6.33617106168428e-07	0.703867619850226	chr15:26788693-27184686
GPHN	GPHN	NA	58.74	8.84	7.36	9.63	3.295005444	0.999933668130898	6.63318655855768e-05	3.51678408443643e-12	0.933743116017285	chr14:66974125-67648520
GABRG3	GABRG3	NA	46.74	20.7	20.49	21.38	2.665861491	0.990131810347662	0.0098647405763418	3.44907599618276e-06	0.151178389166434	chr15:27216429-27778373
AP2A2	AP2A2	NA	2.3	7.92	3.16	3.57	2.732519401	0.999793704127003	0.000206295817210016	5.57868746432808e-11	0.0234848907018876	chr11:1000432-994245
ABAT	ABAT	NA	30.74	24.4	25.19	38.33	1.515920427	0.883796281871084	0.116190047224678	1.36709042385502e-05	0.163825557926488	chr16:8768422-8878432
GABRA5	GABRA5	NA	29.16	22.26	23.15	25.51	2.740740766	0.985427093813388	0.0145639360672156	8.97011939611153e-06	0.194744920640418	chr15:27111510-27194354
GABRD	GABRD	NA	21.65	22.51	20.87	21.84	2.778932923	0.8940197919904	0.105719269766123	0.000260938243477567	0.0621411836042088	chr1:1950780-1962192
AP2A1	AP2A1	NA	3.78	9.99	16.25	7.45	4.035267115	0.99991672647338	8.32734963725816e-05	3.02473484418644e-11	0.216585171421291	chr19:50270225-50310369
GABBR1	GABBR1	NA	25.37	8.64	6.79	9	4.855097392	0.999881755084	0.00011824491309045	2.90943868810959e-12	0.462777433993732	chr6:29523292-29601753
GABRQ	GABRQ	NA	13.33	13.46	15.24	25	1.127836983	0.00633577861433799	0.96979054015733	0.0238736812283316	0.0136403623596197	chrX:151806637-151825999
