pathway_69	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
GDE1	GDE1	NA	35.75	54.2	53.39	32.5	0.857876562	0.00106989685915803	0.804330492997242	0.1945996101436	0.182106189515283	chr16:19513015-19533467
COX10	COX10	NA	86.75	52.36	81.04	86.89	0.196559083	0.566752949708677	0.430146758774564	0.00310029151675862	0.0586759876911809	chr17:13972813-14111994
NFIX	NFIX	NA	33.97	14.44	13.72	17.05	4.182532709	0.98385504410806	0.0161334197466153	1.15361453248692e-05	0.983719259079147	chr19:13106422-13209610
MAPK8IP2	MAPK8IP2	NA	NA	NA	NA	NA	2.126027066	0.995725092086828	0.0042744617571706	4.46156001210361e-07	0.0587851444087272	chr22:51039114-51052409
ERCC1	ERCC1	NA	29.16	45.64	50.97	35.82	0.568526383	0.000177824757947468	0.669081323771999	0.330740851470054	0.174373839742273	chr19:45910591-45982086
TACC3	TACC3	NA	60.76	23.59	25.53	37.11	0.085541541	0.201872207981446	0.797618905485473	0.000508886533081002	0.00156066727755653	chr4:1723227-1746898
RUNX3	RUNX3	NA	34.32	17.52	26.94	24.49	2.901835842	0.596430656178381	0.401138727819598	0.00243061600202035	0.656572009328192	chr1:25226002-25291501
SARS	SARS	NA	31.69	16.08	29.35	31.58	2.831053423	0.998071256907743	0.00192873014243674	1.29498206556993e-08	0.699258887169142	chr1:109756540-109780770
PRSS8	PRSS8	NA	43.29	22.26	23.15	25.51	1.862523721	0.0146953784000711	0.85655064086207	0.128753980737859	0.01243318145645	chr16:31142756-31147083
CS	CS	NA	51.4	41.46	59.3	41.83	2.804233741	0.99961348364799	0.000386515079253253	1.27275630004631e-09	0.729906695319519	chr12:56665485-56694176
ATP6AP1	ATP6AP1	NA	77.7	18.05	23.67	27.22	1.38777096	0.787170304722972	0.211140524417661	0.0016891708593664	0.0675348549530259	chrX:153656978-153664862
PAX2	PAX2	NA	30.37	12.51	15.72	14.99	2.255772827	0.283708130633301	0.715109354267476	0.00118251509922285	0.999803284736917	chr10:102505468-102589698
TXLNA	TXLNA	NA	33.34	41.17	59.33	34.33	1.262567276	0.993299581828776	0.00669908059040997	1.33758081369823e-06	0.147586228141579	chr1:32645287-32663886
KHSRP	KHSRP	NA	15.12	9.12	8.27	9.84	3.412428836	0.999358548459015	0.000641447168049049	4.3729362126063e-09	0.208398716288135	chr19:6413359-6424805
SMOX	SMOX	NA	6.23	8.58	9.82	10.02	1.720820616	0.771729265850902	0.227847405839821	0.000423328309277168	0.308160512081777	chr20:4129426-4168394
TFAP4	TFAP4	NA	60.09	33.45	28.5	33.28	2.773815655	0.970611912727821	0.0293376104601795	5.04768119998967e-05	0.375726791657173	chr16:4307187-4323076
EFNB1	EFNB1	NA	68.13	35.36	17.01	32.1	0.343472856	0.770634430863584	0.219866894917507	0.00949867421890963	0.802000736976419	chrX:68048840-68061990
CBARP	CBARP	NA	85.21	79.7	47.73	78.48	1.496889334	0.00269981349871906	0.769050560816638	0.228249625684643	0.0245232641999696	chr19:1228286-1238026
POLR2F	POLR2F	NA	51.04	43.61	40.83	41.4	NA	0.876689318030596	0.12292320870411	0.000387473265293996	0.453573676324532	chr22:38349670-38437113
SBF1	SBF1	NA	0.17	1.89	0.55	0.47	2.292907931	0.969518230456661	0.0304817695369537	6.3852872251737e-12	0.0557342716671639	chr22:50883429-50913454
ZC3H7B	ZC3H7B	NA	5.87	6.39	4.19	2.64	2.421728685	0.99348379703133	0.00651620087316266	2.09550731468342e-09	0.205802126832557	chr22:41697526-41756151
SALL4	SALL4	NA	3.73	6.01	16.55	11.97	1.73686652	0.998931396738363	0.00106858809323485	1.51684021273032e-08	0.188577614887518	chr20:50400581-50419059
GMEB2	GMEB2	NA	14.08	10.41	8.37	7.25	1.984906756	0.985880642329332	0.0141110573733657	8.30029730253153e-06	0.0570325583813366	chr20:62218955-62258394
SLC7A5	SLC7A5	NA	53.85	16.45	18.74	12.67	3.632996768	0.773905008838203	0.225683059738969	0.000411931422828313	0.094869709451376	chr16:87863629-87903094
NDRG1	NDRG1	NA	34.71	48.94	33.28	40.79	-0.098387874	0.129829164159063	0.868989062229441	0.00118177361149632	0.312951848928545	chr8:134249414-134314265
STX1A	STX1A	NA	28.63	30.04	32.39	31.7	2.127104167	0.877102218587269	0.122513704606588	0.000384076806142823	0.368093661810562	chr7:73113536-73133989
