pathway_68	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
FKBP4	FKBP4	NA	57.15	37.73	73.7	55.36	1.677134413	0.882093172382625	0.117836715063064	7.01125543114618e-05	0.187569502061655	chr12:2904119-2914576
CDC27	CDC27	NA	44.89	99.31	99.24	99.54	3.413770027	0.891952486006493	0.108047051200791	4.62792716142948e-07	0.658499282579042	chr17:45195069-45266632
BTK	BTK	NA	44.89	25	28.85	21.75	2.793889974	0.999092373961948	0.00090761584934716	1.01887045112928e-08	0.867331977629882	chrX:100604435-100641183
RNF14	RNF14	NA	40.16	44.29	25.37	32.9	1.083440778	0.00476990127220519	0.960200843596412	0.0350292551313826	0.544943176800748	chr5:141337893-141369856
RRAGD	RRAGD	NA	49.76	31	40.26	38.15	2.175219067	0.946085563761637	0.0536862412304657	0.00022819500789762	0.350505889768886	chr6:90074355-90121989
KPNA6	KPNA6	NA	24	24.29	20.5	23.12	3.094966729	0.972697574727416	0.0273020753607215	3.49911862119459e-07	0.438098179563747	chr1:32573639-32642169
LETMD1	LETMD1	NA	70.26	51.35	41.35	51.94	0.921115816	0.716422727594573	0.282780121212262	0.000797151193165489	0.100373426377994	chr12:51441745-51454204
KCNH2	KCNH2	NA	3.81	13.21	20.4	20.31	3.561511951	0.990898225019553	0.00910165904029137	1.15940156042821e-07	0.688011456801849	chr7:150642049-150675403
TRAF3IP2	TRAF3IP2	NA	93.84	90.74	82.48	92.6	0.366993	0.00103105300482005	0.985198269314602	0.0137706776805783	0.12203762096957	chr6:111877657-111927481
SEC61A1	SEC61A1	NA	20.26	13.5	12.43	17.04	3.332701913	0.991448945495835	0.00855056277933716	4.91724828411895e-07	0.243049508122713	chr3:127770484-127790525
MRVI1	MRVI1	NA	97.82	96.4	95.64	94.04	0.598065366	0.00348390688730348	0.996017948450897	0.00049814466179962	0.300103464051072	chr11:10594638-10715535
MGLL	MGLL	NA	35.75	70.62	56.79	61.48	0.677742858	0.00328595941699693	0.804561564771394	0.192152475811609	0.0605198481025207	chr3:127407909-127542051
