pathway_22	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
learning	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKAR2B	PRKAR2B	NA	39.68	35.2	22.41	26.59	1.78827771	0.992328639458455	0.00766949828683745	1.86225470778687e-06	0.554712863516444	chr7:106685094-106802256
ABCC8	ABCC8	NA	1.57	2.16	1.33	1.93	2.911322353	8.65662297335326e-12	0.99963209696406	0.000367903027283321	0.967482639442228	chr11:17414432-17498449
TAC1	TAC1	NA	52.85	48.83	40.39	43.81	NA	0.86068824679356	0.1367620312903	0.00254972191613966	0.890769212330664	chr7:97361220-97369784
MAPK8IP2	MAPK8IP2	NA	NA	NA	NA	NA	2.126027066	0.995725092086828	0.0042744617571706	4.46156001210361e-07	0.0587851444087272	chr22:51039114-51052409
FYN	FYN	NA	20.54	19.54	9.57	11.29	2.400355347	0.998085388517164	0.0019145987631723	1.27196638293295e-08	0.993416693019618	chr6:111981535-112194655
ATP1A2	ATP1A2	NA	4.43	3.79	2.17	3.78	4.537008244	0.996439605683741	0.00356039383758425	4.78674528128443e-10	0.330286807237271	chr1:160085563-160113381
NRXN3	NRXN3	NA	3.27	1.46	1.03	1.04	3.017802589	0.999600036206918	0.00039996351316654	2.79915272201211e-10	0.999470408098367	chr14:78744986-80330762
UBA6	UBA6	NA	8.9	12.23	7.61	12.07	0.852925906	0.921217638758374	0.0787823595458333	1.69579280175464e-09	0.31833124050274	chr4:68478370-68566897
PIAS1	PIAS1	NA	21.41	4.54	5.75	6.55	3.332118426	0.998839230824345	0.00116075061841924	1.85572352882884e-08	0.93918984303046	chr15:68346517-68480402
CTNS	CTNS	NA	40.56	86.77	82.27	82.07	0.023284626	0.103987025590429	0.887556068235867	0.00845690617370331	0.064257361547331	chr17:3539762-3564836
PTGS2	PTGS2	NA	28.93	25.59	24.65	37.03	2.545557994	0.998169036953237	0.00183090667666185	5.63701006668143e-08	0.996154622665113	chr1:186640923-186649559
TACR2	TACR2	NA	97.85	92.35	87.96	94.87	0.740736618	5.23360452467099e-06	0.2284547644882	0.771540001907275	0.0747476961619976	chr10:71163659-71176623
VDAC3	VDAC3	ambiguous_previous	67.92	36.62	27.19	31.7	0.81371472	0.960697866114348	0.0391983746470535	0.000103759238598606	0.432327155455964	chr8:42249142-42263415
