pathway_64	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
ZRANB1	ZRANB1	NA	35.99	10.29	6.91	7.09	2.481743549	0.999640855049668	0.00035914388611492	1.06421701575754e-09	0.297372445878064	chr10:126630692-126676758
EHD2	EHD2	NA	7.77	21.8	16.05	25.66	1.605741544	0.46333361378365	0.529788643618623	0.00687774259772779	0.0684211550724532	chr19:48216600-48246391
CEACAM5	CEACAM5	NA	97.44	96.57	91.06	94.78	-0.266999084	1.88718292222721e-05	0.869908369496191	0.130072758674587	0.000745649085463039	chr19:42212504-42233718
PDE4C	PDE4C	NA	77.26	23.9	32.76	38.3	1.228278401	0.0160438086541283	0.9826422685195	0.00131392282637141	0.0268814609124645	chr19:18318771-18366229
PAX4	PAX4	NA	79.46	88.7	91.94	93.42	-0.73156674	0.0119471877153953	0.943650915062703	0.044401897221902	0.364015727830969	chr7:127250346-127255982
MED13	MED13	NA	4.05	1.08	0.85	0.69	2.210796592	0.999999999398011	6.01989093455126e-10	9.08319068596009e-24	0.821773392528532	chr17:60019966-60142643
C17orf75	C17orf75	NA	NA	37.93	45.36	36.71	0.625177276	0.968808442584059	0.0311796788756235	1.18785403178362e-05	0.301738161966747	chr17:30651584-30677042
HJURP	HJURP	NA	94.62	89.39	85.69	96.34	0.220201663	3.44239541553342e-05	0.934612810301597	0.0653527657442477	0.000846127516777514	chr2:234745349-234763212
PSD4	PSD4	NA	94.79	68.7	61.75	85.65	1.967331617	0.877764300456264	0.122235059950217	6.39593519156857e-07	0.0142385125495103	chr2:113931548-113966973
SOX5	SOX5	NA	9.09	3.87	2.48	3.2	3.037362554	0.99829768819356	0.0017023098739751	1.932465155658e-09	0.996082586345632	chr12:23682440-24103966
SMAD4	SMAD4	NA	31.69	33.05	23.75	30.78	2.989155706	0.988019819044614	0.0119790574994182	1.12345596745567e-06	0.999854084196282	chr18:48494361-48611415
FAM163A	FAM163A	NA	66.82	61.56	74.78	64.51	-0.092485456	0.585802827100184	0.36560010795018	0.0485970649496354	0.120045675815012	chr1:179712298-179785333
SNAP47	SNAP47	NA	86.75	89.48	88.08	92.71	0.479446793	0.168877158168546	0.814236473198522	0.0168863686329323	0.00858038251737636	chr1:227916358-227968927
ABCG8	ABCG8	NA	86.38	87.02	86.49	85.12	-0.776457941	6.61180754560193e-15	0.00727461531239828	0.992725384687595	0.174377841562861	chr2:44066103-44105605
SCN1A	SCN1A	NA	4.03	3.49	2.38	5.08	3.799122695	0.999999994566114	5.43388588504053e-09	7.90512739066327e-23	0.67998024920349	chr2:166845670-166930149
CRIM1	CRIM1	NA	6.93	2.21	13.7	2.43	1.508368966	0.931335381794285	0.0686644740353217	1.44170393707148e-07	0.439596130888979	chr2:36583069-36778278
AFF2	AFF2	NA	7.2	3.99	4.88	6.36	1.253617933	0.996778021152214	0.00322196968583441	9.16195167382886e-09	0.928741291579634	chrX:147582139-148082193
TNFRSF13C	TNFRSF13C	NA	NA	62.18	60.16	68.47	1.75752087	0.641014174115994	0.32655436535293	0.0324314605310764	0.00535582658677302	chr22:42321045-42322822
CALM3	CALM3	NA	46.2	45.55	45	48.04	NA	0.543283607094987	0.439554304989257	0.0171620879157561	0.999732827556082	chr19:47104331-47114050
SSX5	SSX5	NA	95.41	92.16	95.56	96.75	NA	1.46696476507445e-06	0.114237200111021	0.885761332924214	0.000613008868823097	chrX:48045656-48056199
SMCO4	SMCO4	NA	52.85	58.38	56.46	63.24	NA	0.00213028374900198	0.287124213073517	0.710745503177481	0.424382303361475	chr11:93211638-93276674
SLFN5	SLFN5	NA	83.57	90.39	91.51	92.38	0.48197169	3.2058836951675e-08	0.290897554155315	0.709102413785848	0.00119470233788496	chr17:33570055-33600674
UBE2E3	UBE2E3	NA	58	50.14	56.76	51.77	2.057958831	0.89334118481465	0.105377962591072	0.00128085259427776	0.680565223562496	chr2:181831975-181928168
KIAA0232	KIAA0232	NA	2.48	8.11	6.13	10.93	0.180321402	0.999887705542858	0.000112294444462941	1.26792242665828e-11	0.0515461996099928	chr4:6784369-6885897
JUN	JUN	NA	39.68	31.82	28.16	27.52	3.372978448	0.441159046298587	0.523428279008506	0.0354126746929072	0.99999415959226	chr1:59246465-59249785
NPBWR1	NPBWR1	NA	78.46	38.65	50.06	37.99	2.569692528	0.00835345665608866	0.535533730312966	0.456112813030945	0.120471291116982	chr8:53850991-53853677
TLR5	TLR5	NA	96.21	91.01	87.23	96.96	0.168370349	2.13086055317982e-09	0.0658942797939548	0.934105718075185	0.0204259122283867	chr1:223282748-223316624
TMPPE	TMPPE	NA	12.46	16.47	32.97	40.72	0.095079763	3.77519717124693e-05	0.200129048777927	0.799833199250361	0.0645113942886343	chr3:33131913-33138327
LIN52	LIN52	NA	64.11	48.83	72.71	62	NA	0.875493600195291	0.12259999007401	0.00190640973069859	0.629012284755756	chr14:74551499-74667936
SLC22A18AS	SLC22A18AS	NA	97.25	NA	NA	NA	NA	NA	NA	NA	0.000446690810309455	chr11:2909010-2924970
