pathway_28	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
MAPK8IP2	MAPK8IP2	NA	NA	NA	NA	NA	2.126027066	0.995725092086828	0.0042744617571706	4.46156001210361e-07	0.0587851444087272	chr22:51039114-51052409
SEZ6	SEZ6	NA	93.47	75.48	74.16	62.8	1.933581984	0.000733625812231717	0.998317177484821	0.000949196702946958	0.218538226018317	chr17:27281919-27333458
PRKCZ	PRKCZ	NA	8.85	8.11	8.25	10.62	1.834987124	0.481730554105594	0.518017342631898	0.000252103262507829	0.349066958463632	chr1:1981909-2116834
DRD4	DRD4	NA	NA	NA	NA	NA	0.758852383	5.38306053924956e-06	0.126822267257984	0.873172349681477	0.0154678259650123	chr11:637293-640706
RIMS1	RIMS1	NA	3.32	11.63	2.8	2.92	3.037775281	0.655762788866752	0.344237211099226	3.40216169614431e-11	0.665149421862827	chr6:72596406-73112845
CHRNA3	CHRNA3	NA	6.78	39.71	27.91	53.73	0.942180128	0.0278659565679815	0.912239444299123	0.0598945991328951	0.230381334546227	chr15:78885394-78913637
IGSF9B	IGSF9B	NA	NA	1.96	2.07	1.73	4.051512816	0.999514081759082	0.000485918222501885	1.84159727097055e-11	0.218378186284473	chr11:133778459-133826880
MEF2C	MEF2C	NA	58	19.91	18.97	22.91	4.047109006	0.00241500594116064	0.977894504675719	0.0196904893831202	0.999766119822176	chr5:88013975-88199922
GSK3B	GSK3B	NA	32.94	23.35	20.51	32.08	1.897126463	0.997210745139451	0.0027892230149021	3.18456469207427e-08	0.996775896715384	chr3:119540170-119813264
P2RX5	P2RX5	NA	83.47	64	78.48	75.73	-0.426071588	9.01803803069905e-06	0.743666215662553	0.256324766299417	0.0121531989954178	chr17:3575493-3599698
SSH1	SSH1	NA	28.31	40.02	32.11	54.24	1.248050606	0.998625970145591	0.0013740287081834	1.14622606992561e-09	0.032917322861149	chr12:109176466-109251366
MTMR2	MTMR2	NA	73.54	62.66	64.32	76.03	1.722676161	0.69923249794491	0.300765894071893	1.60798319730172e-06	0.352025802427517	chr11:95566046-95657459
P2RX7	P2RX7	NA	99.07	96.7	95.98	98.36	0.438866693	8.2506984903742e-06	0.976822065889522	0.0231696834119879	0.0867967259237636	chr12:121570631-121623856
STX1B	STX1B	NA	41.25	27.08	30.28	32.17	3.010022296	0.918946861052141	0.0809223339865012	0.000130804961357872	0.283101132631084	chr16:31000577-31021949
P2RX6	P2RX6	NA	40.56	62.27	70.72	48.56	-1.252383899	5.74533161582994e-07	0.40068966666883	0.599309758798008	0.0163293826014939	chr22:21369316-21383119
ZMYND8	ZMYND8	NA	3.98	1.49	0.95	1.55	2.615892428	0.999987667414287	1.23325856543569e-05	5.83888125822623e-14	0.239093041710567	chr20:45837859-45985567
NTSR1	NTSR1	NA	84.7	92.71	73.34	86.35	-0.482494271	3.89040485660224e-06	0.345479173119262	0.654516936475881	0.563151320141233	chr20:61340189-61394123
CHRNA4	CHRNA4	NA	1.79	14.3	5.57	4.54	0.988749201	0.0143406025017279	0.950858745665469	0.034800651832803	0.164276333915247	chr20:61975420-61992739
CELF4	CELF4	NA	21.41	10.7	9.57	11.29	3.085951019	0.952124795299741	0.0478682034117819	7.00128847710116e-06	0.865512199557328	chr18:34823010-35146000
GLRA2	GLRA2	NA	46.49	20.41	23.37	20.56	1.913299573	0.877371950600382	0.122246180897412	0.000381868502205806	0.579582994503435	chrX:14547420-14749934
CBLN1	CBLN1	NA	54.63	65.01	48.21	57.14	2.573980193	0.801224619061198	0.192294405368787	0.00648097557001506	0.300515651911382	chr16:49311828-49315742
SLC17A7	SLC17A7	NA	31.93	18.5	22	31.54	3.605483676	0.993207205645011	0.00679141123898875	1.38311600034883e-06	0.324819216198912	chr19:49932658-49945617
DMPK	DMPK	NA	13.15	37.9	35.94	30.5	0.094378541	0.333105828885844	0.666104189293729	0.000789981820426928	0.106803158794135	chr19:46272975-46285747
GRIN2D	GRIN2D	NA	NA	3.82	4.56	4.35	5.211109767	0.997093825258346	0.00290613954009668	3.52015569235373e-08	0.0734445916487085	chr19:48898132-48948188
