pathway_38	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
TYROBP	TYROBP	NA	68.98	87.1	84.82	87.01	-0.222787604	0.456639310242216	0.511499289762858	0.0318613999949259	0.0609681616382124	chr19:36395303-36399197
CYP46A1	CYP46A1	NA	31.46	9.4	12.4	12.03	3.3493956	0.630426434093136	0.369202476991575	0.000371088915288948	0.0868520043599752	chr14:100150651-100193638
PRKCZ	PRKCZ	NA	8.85	8.11	8.25	10.62	1.834987124	0.481730554105594	0.518017342631898	0.000252103262507829	0.349066958463632	chr1:1981909-2116834
SLC24A1	SLC24A1	NA	19.04	52.44	52.24	50.27	0.067691222	0.00174694600357221	0.991690083411759	0.00656297058466911	0.0120879370818424	chr15:65903743-65953333
SCGN	SCGN	NA	75.29	83.8	74.52	69.5	0.424304741	0.108674489112849	0.883475985450288	0.00784952543686263	0.0162434565785312	chr6:25652464-25702011
GSK3B	GSK3B	NA	32.94	23.35	20.51	32.08	1.897126463	0.997210745139451	0.0027892230149021	3.18456469207427e-08	0.996775896715384	chr3:119540170-119813264
ITPR3	ITPR3	NA	0.17	0.66	0.44	0.42	4.023880122	1.29201465438025e-10	0.999999987137493	1.27333052985619e-08	0.727036054079413	chr6:33588142-33664351
ABL1	ABL1	NA	2.85	6.83	4.4	5.4	1.97483745	0.999678496780562	0.000321503055010454	1.6442776763073e-10	0.91575422429254	chr9:133589333-133763062
MAPK1	MAPK1	NA	26.23	49.31	46.24	58.51	2.187331271	0.974579123921532	0.0253855994217243	3.52766567439544e-05	0.998883800552633	chr22:22108789-22221970
LGMN	LGMN	NA	52.09	64.52	59.28	73.01	0.471443406	0.283112869386583	0.715698661706162	0.00118846890725483	0.021785181022137	chr14:93170152-93215047
SLC8A3	SLC8A3	NA	7.55	8.27	7.02	4.84	0.786480928	0.819088112728803	0.180867079438353	4.48078328440651e-05	0.527602574805903	chr14:70510934-70655787
NFATC4	NFATC4	NA	69.66	20.86	23.86	12.91	2.466349574	0.971292687246502	0.0287053548559568	1.9578975414193e-06	0.294227778727441	chr14:24836117-24848810
STX4	STX4	NA	18.44	30.85	37.82	54.41	0.611585406	0.00201897037364462	0.896217883727301	0.101763145899054	0.339013967357816	chr16:31044210-31051489
CALB1	CALB1	NA	41.25	26.29	24.37	31.3	1.108402841	0.965221302584917	0.0347631319372547	1.55654778285784e-05	0.977301384873746	chr8:91070836-91107703
GRIN2D	GRIN2D	NA	NA	3.82	4.56	4.35	5.211109767	0.997093825258346	0.00290613954009668	3.52015569235373e-08	0.0734445916487085	chr19:48898132-48948188
CRTC1	CRTC1	NA	26.85	13.7	6.04	7.45	2.592396689	0.961694297379036	0.0383016931905664	4.00943039736285e-06	0.119406031110895	chr19:18794487-18893004
PTN	PTN	NA	70.87	52.42	42.75	49.29	NA	0.642862138862076	0.349430780721546	0.00770708041637744	0.820074791728047	chr7:136912088-137028611
CRHR2	CRHR2	NA	85.18	84.75	91.33	85.46	0.752653865	1.87216095942046e-06	0.646949397331041	0.353048730507999	0.0947537585121227	chr7:30692200-30739719
MPP2	MPP2	NA	8	12.03	13.17	13.03	1.963686203	0.00129031591702553	0.988645490472261	0.010064193610713	0.0890919936265391	chr17:41952725-41987068
NR2E1	NR2E1	NA	35.42	19.35	17.91	18.61	2.939963705	0.985682232951215	0.0143091775390093	8.58950977618701e-06	0.721110093448252	chr6:108487262-108510013
