pathway_58	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
GTF2IRD1	GTF2IRD1	NA	4.31	3.28	5.32	3.86	2.716863409	0.999895359419053	0.000104640578786954	2.16023622801609e-12	0.119649904388167	chr7:73868120-74016931
CDKL5	CDKL5	NA	15.86	1.18	2.51	2.51	2.896715118	0.994604916658204	0.00539505108152818	3.22602682062411e-08	0.564369159098411	chrX:18443703-18671749
BAZ1B	BAZ1B	NA	2.95	1.26	2.13	1.47	3.769884028	0.999997476998556	2.52300144419256e-06	2.47625808913184e-16	0.356018070993291	chr7:72854728-72936608
MKS1	MKS1	NA	50.45	68.87	72.4	45	0.858980625	1.10196146142099e-09	0.721828708260638	0.278171290637401	0.216080844876259	chr17:56282803-56296966
DDX11	DDX11	NA	91.11	97.81	94.3	96.88	0.830842566	NA	NA	NA	0.0120389196451927	chr12:31226779-31257725
ZMYND11	ZMYND11	NA	22.09	9.12	9.76	12.54	3.494072141	0.99990260847642	9.73914792833215e-05	4.42962514197149e-11	0.474328139463217	chr10:180405-300577
NSUN2	NSUN2	NA	8.54	12.9	5.95	8.04	0.049124174	0.976773378817323	0.0232265737124018	4.74702748567231e-08	0.0373621081629872	chr5:6599352-6633404
AGA	AGA	NA	86.71	82.07	75.34	84.84	-0.199715031	0.0122883434168193	0.944928221645197	0.0427834349379833	0.0962324507407477	chr4:178351924-178363657
OFD1	OFD1	NA	40.56	6.21	36.69	10.06	0.685041152	0.990765784448645	0.00923419124603071	2.4305323950345e-08	0.0283899908645379	chrX:13752832-13787480
CC2D2A	CC2D2A	NA	9.83	93.91	97.56	92.8	0.415204065	5.39585643475696e-13	0.996031784713892	0.00396821528556832	0.0117826006794643	chr4:15471489-15603180
ELN	ELN	NA	47.2	51.06	68.9	62.73	-0.47682269	3.58159025661482e-06	0.999323980626007	0.000672437783735971	0.695746031498746	chr7:73442119-73484237
RFC2	RFC2	NA	19.54	33.41	27.9	35.13	0.931843966	0.00410952026885176	0.953263502049153	0.0426269776819948	0.534129238745571	chr7:73645829-73668774
ARID1B	ARID1B	NA	0.8	0.64	1.52	1.7	2.897059403	0.999654497430291	0.000345502569642867	6.64669499500854e-14	0.540737444638769	chr6:157099063-157531913
ABCC9	ABCC9	NA	1.82	1.51	1.48	1.97	2.980435196	0.206645901020836	0.793354097614248	1.36491593826227e-09	0.261420458044837	chr12:21950335-22094336
TCOF1	TCOF1	NA	78.7	91.8	95.49	94.9	-0.881102681	0.953515507501353	0.0464844815942231	1.09044236281371e-08	0.0292154907975792	chr5:149737202-149779871
CDC42	CDC42	NA	46.2	44.65	36.34	40.17	1.990499663	0.615716856763145	0.374571548931323	0.00971159430553115	0.998507542689706	chr1:22379120-22419437
SMARCE1	SMARCE1	NA	53.51	15.9	14.93	20.1	2.098355658	0.996764969836841	0.00323480420963615	2.25953522703029e-07	0.59421333410993	chr17:38781214-38804760
ACTB	ACTB	NA	15.62	12.35	11.64	14.63	4.055174822	0.922336551561948	0.077092047043746	0.000571401394306113	0.991715240129484	chr7:5566782-5603415
