pathway_72	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
CREBBP	CREBBP	NA	1.54	0.36	0.22	0.36	4.271484817	0.999999999995562	4.43823331084085e-12	1.17549457767827e-29	0.997442454029976	chr16:3775055-3930727
BRCA1	BRCA1	NA	78.6	20.81	20.1	73.43	-0.420634577	6.29039203055035e-20	0.0397374036139131	0.960262596386087	0.986984944750969	chr17:41196312-41277500
INSRR	INSRR	NA	1.28	62.73	21.24	17.28	2.309673517	5.66519121975801e-07	0.999610354599438	0.000389078881440498	0.19446395618934	chr1:156809855-156828810
ARID4B	ARID4B	NA	24.63	3.04	3.24	3.51	1.507269051	0.999888159843788	0.000111840155697497	5.14027943251155e-13	0.332554914803626	chr1:235330210-235491534
KMT2C	KMT2C	NA	0.91	2.27	15.08	15.49	2.360177673	0.999999999999825	1.75230156286211e-13	4.27046491168937e-42	0.0883465982022104	chr7:151832010-152133090
SMC1A	SMC1A	NA	22.09	2.66	2.22	3.11	5.359867264	0.999965573338753	3.442665772902e-05	3.51757861452623e-12	0.539151882888306	chrX:53401070-53449677
SMARCE1	SMARCE1	NA	53.51	15.9	14.93	20.1	2.098355658	0.996764969836841	0.00323480420963615	2.25953522703029e-07	0.59421333410993	chr17:38781214-38804760
SMARCA2	SMARCA2	NA	1.82	1.13	1.21	1.55	5.386822448	0.999999870914248	1.29085752483289e-07	3.59033679800549e-20	0.973609555395104	chr9:2015342-2193624
SRCAP	SRCAP	NA	0.15	0.12	0.23	0.32	3.581945073	0.999999922995413	7.70045870983497e-08	3.460070726332e-24	0.219841980464117	chr16:30709530-30751450
KAT6A	KAT6A	NA	0.48	1.58	2.69	1.02	2.689380736	0.99999986038031	1.39619690200864e-07	4.34630190444792e-20	0.433949125139863	chr8:41786997-41909508
